BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,STATE,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
200401,1,0,200401,1,100,NEVADA,Heavy Snow,0,0,0,0,,
200401,1,0,200401,1,900,CALIFORNIA,Heavy Snow,0,0,0,0,,
200401,1,0,200401,1,900,CALIFORNIA,Heavy Snow,0,0,0,0,,
200401,1,0,200401,1,1136,INDIANA,Flood,0,0,0,0,,
200401,1,0,200401,17,700,INDIANA,Flood,0,0,0,0,,
200401,1,0,200401,14,2300,INDIANA,Flood,0,0,0,0,,
200401,1,0,200401,14,700,INDIANA,Flood,0,0,0,0,,
200401,1,0,200401,14,700,INDIANA,Flood,0,0,0,0,,
200401,1,0,200401,2,1300,INDIANA,Flood,0,0,0,0,,
200401,1,0,200401,2,1300,INDIANA,Flood,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,1,800,UTAH,Dense Fog,0,0,0,0,,
200401,1,0,200401,1,800,COLORADO,Dense Fog,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,UTAH,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,UTAH,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,UTAH,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,UTAH,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,UTAH,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,UTAH,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,UTAH,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,31,2359,COLORADO,Drought,0,0,0,0,,
200401,1,0,200401,2,400,WYOMING,Heavy Snow,0,0,0,0,,
200401,1,0,200401,2,400,WYOMING,Heavy Snow,0,0,0,0,,
200401,1,0,200401,2,400,WYOMING,Heavy Snow,0,0,0,0,,
200401,1,0,200401,2,400,WYOMING,Heavy Snow,0,0,0,0,,
200401,1,0,200401,2,400,WYOMING,Heavy Snow,0,0,0,0,,
200401,1,0,200401,2,400,WYOMING,Heavy Snow,0,0,0,0,,
